iter	Passed	Remaining
677	5165	2453
678	5174	2446
679	5183	2439
680	5192	2432
681	5200	2424
682	5208	2417
683	5216	2409
684	5223	2402
685	5231	2394
686	5239	2387
687	5247	2379
688	5255	2372
689	5263	2364
690	5271	2357
691	5279	2349
692	5287	2342
693	5295	2335
694	5305	2328
695	5313	2320
696	5321	2313
697	5329	2305
698	5336	2298
699	5344	2290
700	5352	2282
701	5360	2275
702	5367	2267
703	5375	2260
704	5383	2252
705	5391	2245
706	5397	2236
707	5405	2229
708	5413	2221
709	5421	2214
710	5429	2206
711	5436	2199
712	5444	2191
713	5452	2184
714	5460	2176
715	5467	2168
716	5475	2161
717	5483	2153
718	5491	2146
719	5498	2138
720	5506	2130
721	5514	2123
722	5522	2115
723	5530	2108
724	5538	2100
725	5546	2093
726	5553	2085
727	5561	2077
728	5569	2070
729	5576	2062
730	5584	2055
731	5592	2047
732	5598	2039
733	5604	2031
734	5610	2022
735	5617	2014
736	5623	2006
737	5629	1998
738	5635	1990
739	5641	1982
740	5647	1973
741	5652	1965
742	5658	1957
743	5664	1949
744	5670	1940
745	5676	1932
746	5681	1924
747	5687	1915
748	5692	1907
749	5697	1899
750	5703	1890
751	5708	1882
752	5713	1874
753	5719	1865
754	5724	1857
755	5729	1849
756	5735	1841
757	5740	1832
758	5745	1824
759	5751	1816
760	5756	1807
761	5762	1799
762	5767	1791
763	5772	1783
764	5778	1775
765	5783	1766
766	5789	1758
767	5794	1750
768	5800	1742
769	5805	1734
770	5810	1725
771	5826	1720
772	5835	1713
773	5842	1705
774	5848	1698
775	5854	1689
776	5860	1681
777	5866	1673
778	5872	1665
779	5877	1657
780	5883	1649
781	5889	1641
782	5894	1633
783	5900	1625
784	5905	1617
785	5911	1609
786	5916	1601
787	5922	1593
788	5928	1585
789	5934	1577
790	5941	1569
791	5946	1561
792	5952	1553
793	5957	1545
794	5963	1537
795	5969	1529
796	5975	1521
797	5981	1514
798	5987	1506
799	5992	1498
800	5998	1490
801	6003	1482
802	6009	1474
803	6015	1466
804	6020	1458
805	6026	1450
806	6032	1442
807	6037	1434
808	6043	1426
809	6049	1419
810	6054	1411
811	6060	1403
812	6066	1395
813	6072	1387
814	6078	1379
815	6084	1371
816	6089	1364
817	6095	1356
818	6100	1348
819	6106	1340
820	6111	1332
821	6117	1324
822	6122	1316
823	6128	1308
824	6133	1301
825	6139	1293
826	6144	1285
827	6150	1277
828	6155	1269
829	6160	1261
830	6166	1254
831	6172	1246
832	6178	1238
833	6184	1230
834	6189	1223
835	6195	1215
836	6201	1207
837	6207	1199
838	6212	1192
839	6217	1184
840	6223	1176
841	6228	1168
842	6234	1161
843	6240	1153
844	6246	1145
845	6252	1138
846	6258	1130
847	6264	1122
848	6269	1115
849	6275	1107
850	6280	1099
851	6286	1092
852	6292	1084
853	6297	1076
854	6303	1069
855	6309	1061
856	6316	1053
857	6322	1046
858	6328	1038
859	6334	1031
860	6340	1023
861	6346	1015
862	6352	1008
863	6358	1000
864	6364	993
865	6370	985
866	6376	978
867	6381	970
868	6387	962
869	6393	955
870	6399	947
871	6405	940
872	6411	932
873	6416	925
874	6422	917
875	6428	909
876	6433	902
877	6439	894
878	6445	887
879	6452	879
880	6457	872
881	6463	864
882	6469	857
883	6474	849
884	6481	842
885	6486	834
886	6492	827
887	6498	819
888	6504	812
889	6510	804
890	6515	797
891	6521	789
892	6527	782
893	6533	774
894	6539	767
895	6545	759
896	6551	752
897	6557	744
898	6562	737
899	6568	729
900	6574	722
901	6580	715
902	6586	707
903	6592	700
904	6598	692
905	6605	685
906	6612	677
907	6618	670
908	6624	663
909	6630	655
910	6636	648
911	6642	640
912	6648	633
913	6653	626
914	6660	618
915	6665	611
916	6671	603
917	6677	596
918	6683	589
919	6689	581
920	6694	574
921	6700	566
922	6707	559
923	6714	552
924	6721	544
925	6727	537
