Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Ablation meta model (Logistic Regression),0.5813155980463472,0.5813152253152254,0.0024637745424263,0.6100848726909636,0.8437769722078371,0.7081492212966316,0.232,0.003,2026-06-03 18-34-34,data/results/stacker_training_features_4signal.csv,0.4571723593659224,9623.0,meta_model_4sig_intrinsic_only_lr; sklearn v1.8.0,4sig,intrinsic_only,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Gradient Boosting),0.8306141535903564,0.8306133326133326,0.005892627308379,0.820378636293674,0.9200759537372692,0.8673718470301057,5.943,0.012,2026-06-03 18-35-47,data/results/stacker_training_features_4signal.csv,0.8890887264227693,9623.0,meta_model_4sig_intrinsic_only_gb; sklearn v1.8.0,4sig,intrinsic_only,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Support Vector Machine),0.7914371817520524,0.6772319032319032,0.0069232899250676,0.7955042147986263,0.879682375280511,0.8354783178949095,146.465,5.192,2026-06-03 20-20-38,data/results/stacker_training_features_4signal.csv,0.7881048704229785,9623.0,meta_model_4sig_intrinsic_only_svm; sklearn v1.8.0,4sig,intrinsic_only,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Multi-layer Perceptron),0.8147147459212304,0.8147136647136646,0.0072466119949503,0.8115288999378496,0.9016053858104608,0.8541990350805463,43.048,0.007,2026-06-03 20-21-37,data/results/stacker_training_features_4signal.csv,0.8592089399333579,9623.0,meta_model_4sig_intrinsic_only_mlp; sklearn v1.8.0,4sig,intrinsic_only,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Decision Tree),0.8214693962381794,0.8214680994680995,0.007115646659239,0.8442304443318128,0.8625927843949595,0.8533128415300546,0.256,0.002,2026-06-03 20-21-53,data/results/stacker_training_features_4signal.csv,0.8109604911662991,9623.0,meta_model_4sig_intrinsic_only_dt; sklearn v1.8.0,4sig,intrinsic_only,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Logistic Regression),0.5614673178842357,0.5614669114669114,0.0081558857879153,0.6013400335008375,0.805627481443121,0.6886527962225173,0.199,0.002,2026-06-03 20-27-11,data/results/stacker_training_features_4signal.csv,0.4923071375870491,9623.0,meta_model_4sig_intrinsic_and_vt_lr; sklearn v1.8.0,4sig,intrinsic_and_vt,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Gradient Boosting),0.8679206068793516,0.8679208899208899,0.0031291684738468,0.858433734939759,0.9347488348006214,0.894967358069581,5.374,0.009,2026-06-03 20-27-16,data/results/stacker_training_features_4signal.csv,0.9342687830229968,9623.0,meta_model_4sig_intrinsic_and_vt_gb; sklearn v1.8.0,4sig,intrinsic_and_vt,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Support Vector Machine),0.8049464823859503,0.677958095958096,0.0080153633427394,0.8156028368794326,0.8734679785948558,0.8435442193881804,117.51,4.301,2026-06-03 20-29-18,data/results/stacker_training_features_4signal.csv,0.8306534761725122,9623.0,meta_model_4sig_intrinsic_and_vt_svm; sklearn v1.8.0,4sig,intrinsic_and_vt,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Multi-layer Perceptron),0.8560739894003949,0.8560745740745741,0.0062477952694969,0.8512910423971948,0.9219747971689972,0.8852241650783128,53.114,0.005,2026-06-03 20-30-11,data/results/stacker_training_features_4signal.csv,0.9098150329086288,9623.0,meta_model_4sig_intrinsic_and_vt_mlp; sklearn v1.8.0,4sig,intrinsic_and_vt,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Decision Tree),0.8464096435622986,0.8464084564084564,0.0096709577820087,0.8659881255301103,0.8812359744519247,0.8735455167693361,0.254,0.002,2026-06-03 20-30-11,data/results/stacker_training_features_4signal.csv,0.8374383146311002,9623.0,meta_model_4sig_intrinsic_and_vt_dt; sklearn v1.8.0,4sig,intrinsic_and_vt,strict,data/results/stacker_training_features_4signal.csv
