Split,Accuracy,Precision,Recall,F1,ROC_AUC,Inference Time (s),Avg Time / URL (s),Num Samples,saved_at,ensemble_type,data_type,bert_architecture,fusion_mode,Meta Model Name,Meta Model ID,Model Artifact,Evaluation Status,Evaluation Error,Train Accuracy,Train CV Accuracy,Train CV Std,Train Precision,Train Recall,Train F1-Score,Train Time (s),Train Inference Time (s),Train Saved_at,Training dataset name,Train ROC-AUC,Train Num samples in dataset,Train Note,selected_meta_model_dir,selected_stacker_variant
Validation,1.0,1.0,1.0,1.0,1.0,0.607,0.00842,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,LightGBM,meta_model_rich_lgbm_v1,data\ml_models\meta_model_rich_lgbm_v1\meta_model.pkl,success,,0.992726013,0.993616543,0.002554067,0.990851915,0.99712313,0.993977631,0.14,0.022,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998552802,9623.0,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,1.0,0.296,0.00411,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Logistic Regression,meta_model_rich_lr_v1,data\ml_models\meta_model_rich_lr_v1\meta_model.pkl,success,,0.98926221,0.990201767,0.000867132,0.986324786,0.995972382,0.991125107,0.033,0.003,4/19/2026 4:22,data/results/stacker_training_features.csv,0.994681922,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.239,0.00332,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Multi-layer Perceptron,meta_model_rich_mlp_v1,data\ml_models\meta_model_rich_mlp_v1\meta_model.pkl,success,,0.98960859,0.990053399,0.00075766,0.985779295,0.99712313,0.991418764,1.305,0.011,4/19/2026 4:22,data/results/stacker_training_features.csv,0.994986885,9623.0,,,
Validation,0.722222222,0.6875,1.0,0.814814815,1.0,0.217,0.00301,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Naive Bayes,meta_model_rich_nb_v1,data\ml_models\meta_model_rich_nb_v1\meta_model.pkl,success,,0.703498441,0.702790573,0.005508438,0.67027027,0.998849252,0.802218115,0.009,0.003,4/19/2026 4:22,data/results/stacker_training_features.csv,0.989239154,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,2.655,0.03687,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Random Forest,meta_model_rich_rf_v1,data\ml_models\meta_model_rich_rf_v1\meta_model.pkl,success,,0.994457915,0.993616103,0.002681318,0.992562929,0.998273878,0.995410212,0.238,0.055,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998842241,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.209,0.00291,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Support Vector Machine,meta_model_rich_svm_v1,data\ml_models\meta_model_rich_svm_v1\meta_model.pkl,success,,0.98891583,0.989459487,0.001586119,0.985210466,0.996547756,0.990846682,0.51,0.063,4/19/2026 4:22,data/results/stacker_training_features.csv,0.987107917,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.576,0.008,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,XGBoost,meta_model_rich_xgb_v1,data\ml_models\meta_model_rich_xgb_v1\meta_model.pkl,success,,0.995150675,0.992131872,0.001528442,0.993135011,0.998849252,0.995983936,0.083,0.01,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998348491,9623.0,,,
Validation,,,,,,,,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Calibrated Logistic Regression,meta_model_v1,data\ml_models\meta_model_v1\logistic_regression_calibrated.pkl,failed,AttributeError: 'SimpleImputer' object has no attribute '_fill_dtype',0.98986098,,,0.985594238,0.997743056,0.991631438,,,4/15/2026 8:54,data/results/stacker_training_features.csv,0.995631038,9567.0,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,1.0,0.826,0.01147,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Calibrated Logistic Regression,meta_model_v2,data\ml_models\meta_model_v2\logistic_regression_calibrated.pkl,success,,0.990023901,,,0.985677749,0.997928534,0.991765311,,,4/16/2026 0:50,data/results/stacker_training_features.csv,0.995526788,9623.0,,,
Test,0.666666667,1.0,0.441860465,0.612903226,1.0,0.0,0.0,72,4/22/2026 2:16,standard,new_data,bert_cv3_f3_h512_l8_a8,average,Standard Average Ensemble,,,success,,,,,,,,,,,,,,,,
Test,1.0,1.0,1.0,1.0,1.0,0.362,0.00503,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,CatBoost Classifier,meta_model_4signal_cb_v1,data\ml_models\meta_model_4signal_cb_v1\meta_model.pkl,success,,0.994111534,0.993170668,0.002947739,0.991433467,0.998849252,0.995127544,4.401,0.007,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.99807107,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,0.9884,0.251,0.00349,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Decision Tree,meta_model_4signal_dt_v1,data\ml_models\meta_model_4signal_dt_v1\meta_model.pkl,success,,0.990994112,0.989608185,0.003149308,0.988584475,0.996547756,0.992550143,0.017,0.004,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.987359048,9623.0,,,
Test,1.0,1.0,1.0,1.0,1.0,0.231,0.00321,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Gradient Boosting,meta_model_4signal_gb_v1,data\ml_models\meta_model_4signal_gb_v1\meta_model.pkl,success,,0.994111534,0.993170889,0.001719216,0.991433467,0.998849252,0.995127544,0.497,0.005,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.996965891,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,0.9884,1.68,0.02333,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,K Nearest Neighbors,meta_model_4signal_knn_v1,data\ml_models\meta_model_4signal_knn_v1\meta_model.pkl,success,,0.98926221,0.988420581,0.002420804,0.984667802,0.997698504,0.991140326,0.011,0.033,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.991833595,9623.0,,,
Test,1.0,1.0,1.0,1.0,1.0,0.551,0.00765,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,LightGBM,meta_model_4signal_lgbm_v1,data\ml_models\meta_model_4signal_lgbm_v1\meta_model.pkl,success,,0.993418774,0.993764801,0.003340011,0.990862364,0.998273878,0.994554314,0.138,0.017,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.998492961,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.258,0.00359,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Logistic Regression,meta_model_4signal_lr_v1,data\ml_models\meta_model_4signal_lr_v1\meta_model.pkl,success,,0.98926221,0.988866015,0.001325939,0.984117981,0.998273878,0.991145387,0.016,0.003,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.992272262,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.196,0.00273,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Multi-layer Perceptron,meta_model_4signal_mlp_v1,data\ml_models\meta_model_4signal_mlp_v1\meta_model.pkl,success,,0.988569449,0.987826668,0.001793607,0.983550766,0.997698504,0.990574122,1.221,0.004,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.99435843,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.183,0.00254,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Naive Bayes,meta_model_4signal_nb_v1,data\ml_models\meta_model_4signal_nb_v1\meta_model.pkl,success,,0.983027364,0.985154283,0.002047393,0.986183074,0.98561565,0.985899281,0.008,0.003,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.99553021,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,2.673,0.03712,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Random Forest,meta_model_4signal_rf_v1,data\ml_models\meta_model_4signal_rf_v1\meta_model.pkl,success,,0.994111534,0.99302219,0.002025795,0.991433467,0.998849252,0.995127544,0.226,0.061,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.997620636,9623.0,,,
